序号,基金代码,基金简称,期间涨幅,期间分红(元/份),分红次数,起始日期,单位净值,累计净值,终止日期,单位净值,累计净值,成立日期,手续费
151,015436,建信优化配置混合,9.63%,---,0,2022-03-21,1.5232,1.5232,2022-10-17,1.6699,1.6699,2022-03-21,0.00%
152,014038,交银启诚混合A,9.56%,---,0,2021-12-08,1.0000,1.0000,2022-10-17,1.0956,1.0956,2021-12-08,0.15%
153,159625,嘉实国证绿色电力,9.51%,---,0,2022-04-21,1.0000,1.0000,2022-10-17,1.0951,1.0951,2022-04-21,--
154,008690,平安增利六个月定,9.43%,---,0,2021-10-18,1.0666,1.0666,2022-10-17,1.1672,1.1672,2020-03-05,0.04%
155,002776,招商安荣混合A,9.42%,0.0532,1,2021-10-18,1.4265,1.4265,2022-10-17,1.5022,1.5554,2016-07-15,0.15%
156,015392,上银新能源产业精,9.41%,---,0,2022-04-20,1.0000,1.0000,2022-10-17,1.0941,1.0941,2022-04-20,0.00%
157,013843,银华新锐成长混合,9.35%,---,0,2022-03-31,1.0000,1.0000,2022-10-17,1.0935,1.0935,2022-03-31,0.00%
158,014611,富国核心科技12,9.31%,---,0,2022-01-28,1.0000,1.0000,2022-10-17,1.0931,1.0931,2022-01-28,0.15%
159,004222,金信民旺债券A,9.31%,---,0,2021-10-18,1.1451,1.1451,2022-10-17,1.2517,1.2517,2017-12-04,0.08%
160,040023,华安可转债债券B,9.30%,---,0,2021-10-18,1.5920,1.5920,2022-10-17,1.7400,1.7400,2011-06-22,0.00%
161,009755,景顺长城安鑫回报,9.28%,---,0,2021-10-18,1.0475,1.0475,2022-10-17,1.1447,1.1447,2020-07-10,0.00%
162,008809,安信民稳增长混合,9.23%,0.0110,1,2021-10-18,1.1865,1.2165,2022-10-17,1.2853,1.3263,2020-01-14,0.08%
163,015030,博时远见回报混合,9.19%,---,0,2022-03-01,1.0000,1.0000,2022-10-17,1.0919,1.0919,2022-03-01,0.15%
164,006559,永赢通益债券C,9.18%,0.1002,4,2021-10-18,1.0984,1.1503,2022-10-17,1.0948,1.2469,2018-11-22,--
165,013759,招商精选平衡混合,9.14%,---,0,2022-03-07,1.0000,1.0000,2022-10-17,1.0914,1.0914,2022-03-07,0.15%
166,350002,天治低碳经济混合,9.12%,---,0,2021-10-18,1.0631,3.5881,2022-10-17,1.1601,3.6851,2005-01-12,0.15%
167,014016,中信建投品质优选,9.11%,---,0,2022-03-28,1.0000,1.0000,2022-10-17,1.0911,1.0911,2022-03-28,0.15%
168,015686,富国新兴产业股票,9.09%,---,0,2022-06-16,1.7610,1.7610,2022-10-17,1.9210,1.9210,2022-06-16,0.00%
169,001892,长盛新兴成长混合,9.05%,---,0,2021-10-18,1.8460,1.8460,2022-10-17,2.0130,2.0130,2015-11-06,0.15%
170,014014,招商臻选平衡混合,9.03%,---,0,2022-01-05,1.0000,1.0000,2022-10-17,1.0903,1.0903,2022-01-05,0.15%
171,008692,平安增利六个月定,8.99%,---,0,2021-10-18,1.0596,1.0596,2022-10-17,1.1549,1.1549,2020-03-05,0.00%
172,008691,平安增利六个月定,8.99%,---,0,2021-10-18,1.0596,1.0596,2022-10-17,1.1549,1.1549,2020-03-05,0.00%
173,005717,兴业机遇债券A,8.98%,---,0,2021-10-18,1.2663,1.3363,2022-10-17,1.3800,1.4500,2018-11-13,0.08%
174,004224,南方军工改革灵活,8.94%,---,0,2021-10-18,1.5194,1.5194,2022-10-17,1.6553,1.6553,2017-03-08,0.15%
175,004402,金信民旺债券C,8.89%,---,0,2021-10-18,1.1226,1.1226,2022-10-17,1.2224,1.2224,2017-12-04,0.00%
176,014017,中信建投品质优选,8.87%,---,0,2022-03-28,1.0000,1.0000,2022-10-17,1.0887,1.0887,2022-03-28,0.00%
177,014612,富国核心科技12,8.84%,---,0,2022-01-28,1.0000,1.0000,2022-10-17,1.0884,1.0884,2022-01-28,0.00%
178,516760,平安中证畜牧养殖,8.83%,---,0,2021-10-18,0.8300,0.8300,2022-10-17,0.9033,0.9033,2021-03-04,--
179,217002,招商安泰平衡混合,8.83%,0.0544,1,2021-10-18,1.5296,3.6333,2022-10-17,1.6074,3.7655,2003-04-28,0.15%
180,014039,交银启诚混合C,8.82%,---,0,2021-12-08,1.0000,1.0000,2022-10-17,1.0882,1.0882,2021-12-08,0.00%
181,015576,泰达宏利绩优混合,8.82%,---,0,2022-06-10,1.7196,1.7196,2022-10-17,1.8712,1.8712,2022-06-10,0.00%
182,015245,南华丰汇混合,8.80%,---,0,2022-02-28,1.0000,1.0000,2022-10-17,1.0880,1.0880,2022-02-28,0.12%
183,008810,安信民稳增长混合,8.79%,0.0110,1,2021-10-18,1.1780,1.2080,2022-10-17,1.2709,1.3119,2020-01-14,0.00%
184,015031,博时远见回报混合,8.77%,---,0,2022-03-01,1.0000,1.0000,2022-10-17,1.0877,1.0877,2022-03-01,0.00%
185,162607,景顺长城资源垄断,8.76%,0.0400,1,2021-10-18,0.5580,3.3460,2022-10-17,0.5660,3.3940,2006-01-26,0.15%
186,013760,招商精选平衡混合,8.66%,---,0,2022-03-07,1.0000,1.0000,2022-10-17,1.0866,1.0866,2022-03-07,0.00%
187,159865,国泰中证畜牧养殖,8.65%,---,0,2021-10-18,0.7945,0.7945,2022-10-17,0.8632,0.8632,2021-03-01,--
188,000535,长盛航天海工装备,8.63%,---,0,2021-10-18,1.7500,2.2940,2022-10-17,1.9010,2.4450,2014-03-11,0.15%
189,009465,东方可转债债券A,8.63%,0.0450,1,2021-10-18,1.0380,1.0380,2022-10-17,1.0806,1.1256,2021-03-04,0.08%
190,014604,嘉实中证光伏产业,8.60%,---,0,2022-01-25,1.0000,1.0000,2022-10-17,1.0860,1.0860,2022-01-25,0.10%
191,015585,国泰优势行业混合,8.59%,---,0,2022-05-17,1.9108,1.9108,2022-10-17,2.0749,2.0749,2022-05-17,0.00%
192,009582,国寿中债3-5年,8.58%,0.0300,3,2021-10-18,1.0246,1.0276,2022-10-17,1.0815,1.1145,2020-12-11,0.00%
193,001427,招商丰泽混合A,8.57%,---,0,2021-10-18,1.5630,1.5630,2022-10-17,1.6970,1.6970,2015-06-11,0.15%
194,002777,招商安荣混合C,8.54%,0.0508,1,2021-10-18,1.3674,1.3674,2022-10-17,1.4284,1.4792,2016-07-15,0.00%
195,008222,兴业机遇债券C,8.54%,---,0,2021-10-18,1.2958,1.3358,2022-10-17,1.4065,1.4465,2019-11-18,0.00%
